NAME          LONGITUDE      LATITUDE       XAZIMUTH       YAZIMUTH       XLENGTH        YLENGTH
CEA20         -2.1816615650  0.8028514559   3.3161255788   1.7453292520   20000          20000
CEB20         -1.6406094969  0.5061454831   4.3633231300   2.7925268032   20000          20000
CEA40         -2.1816615650  0.8028514559   3.3161255788   1.7453292520   40000          40000
CEB40         -1.6406094969  0.5061454831   4.3633231300   2.7925268032   40000          40000
ET110          0.1643518379  0.7071492353   0.0000000000   5.2359877560   10000          10000
ET210          0.1643518379  0.7071492353   2.0943951024   1.0471975512   10000          10000
ET310          0.1643518379  0.7071492353   4.1887902048   3.1415926536   10000          10000
ET120          0.1643518379  0.7071492353   0.0000000000   5.2359877560   20000          20000
ET220          0.1643518379  0.7071492353   2.0943951024   1.0471975512   20000          20000
ET320          0.1643518379  0.7071492353   4.1887902048   3.1415926536   20000          20000
LIO            1.3444421506  0.3423167674   5.8012004169   4.2304040901   4000           4000
